ESTBAN (Documento 4500) por municipio 
Data de geracao dos dados: 2019-08-01
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS;VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
201008;AC;1030;MANCIO LIMA;00000000;BCO DO BRASIL S.A.;1;1;236809;236809;0;0;0;0;0;85255;0;0;85255;;0;6106762;5621433;384288;91483;0;0;0;0;0;0;9557;0;0;0;0;0;3675;0;996460;7428961;1649904;1708805;1119818;0;1119818;0;1604453;0;0;1604453;0;0;0;0;8994;8994;0;37208;0;303319;396301;-92982;996460;7428961;1200336
201008;AC;9465;ASSIS BRASIL;00000000;BCO DO BRASIL S.A.;1;1;215578;215578;0;0;0;0;0;491716;0;0;491716;;0;6344708;4462072;507772;1023704;336412;0;0;0;0;0;14748;0;0;0;0;0;2272;0;1675905;8730178;547671;822514;826334;0;826334;0;4588973;0;0;4588973;0;0;0;0;16926;16927;0;12143;0;239712;337617;-97905;1675905;8730178;1200054
201008;AC;15978;FEIJO;00000000;BCO DO BRASIL S.A.;1;1;315899;315899;0;0;0;0;0;498774;0;0;498774;;0;9323183;8086519;1138324;0;0;0;0;0;0;0;98341;0;0;0;0;0;3964;0;2083428;12225249;1560529;926788;1604145;0;1604145;0;5604868;0;0;5604868;0;0;0;604;7907;7907;0;16088;0;420893;557388;-136494;2083428;12225249;1200302
201008;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;867725;867725;0;0;0;0;0;291023;0;0;291023;;0;3909106;3907477;0;0;0;0;0;0;0;0;1628;0;0;0;0;0;0;0;27910477;32978330;2371404;2316484;90810;0;90810;0;55086;0;0;55086;0;0;0;0;2765;2765;0;49944;0;181361;301654;-120293;27910477;32978330;1200302
201008;AC;18690;XAPURI;00000000;BCO DO BRASIL S.A.;1;1;320035;320035;0;0;0;0;0;378251;0;0;378030;;221;15853938;10791490;3264356;56144;1654675;0;0;0;0;0;87273;0;0;0;0;0;3304;141864;2021577;18718969;1920882;2363721;1759960;0;1759960;0;10023982;0;0;10023982;0;0;0;0;21594;21593;0;32654;0;574598;763137;-188539;2021577;18718969;1200708
201008;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;744932;744932;0;0;0;0;0;668545;0;0;660910;;7635;1292552;1245011;3387;9282;0;0;0;0;0;0;34872;0;0;0;0;0;5248;0;35183208;37894486;1243448;1347097;66936;0;66936;0;34943;0;0;34943;0;0;0;0;2036;2036;0;4408;0;12411;92171;-79760;35183208;37894486;1200708
201008;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;637478;637478;0;0;0;0;0;445352;46;0;422866;;22440;18471863;15962253;1987290;0;423065;0;0;0;0;0;99255;0;0;0;0;0;5946;0;4724518;24285158;2976618;3584758;3531715;0;3531715;0;8690490;0;0;8690490;0;0;0;0;40651;40651;0;50717;0;685689;1023067;-337378;4724518;24285158;1200609
201008;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;260751;260751;0;0;0;0;0;-6046072;112648;0;0;;-6158720;10874571;9469669;270941;0;0;0;0;0;2460112;0;0;0;-1326150;0;0;0;0;0;16917341;22006591;2593057;1940214;555823;0;555823;0;22571;60;0;22511;0;0;0;0;10225;10225;0;22831;0;-55470;665440;-720910;16917341;22006591;1200609
201008;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;768136;768136;0;0;0;0;0;1109950;0;0;1099950;;10000;4068683;4065263;2417;0;0;0;0;0;0;0;1003;0;0;0;0;0;443;0;27405041;33352253;1401136;4341369;5756;0;5756;0;35369;0;0;35369;0;0;0;0;6737;6737;0;41551;0;115298;247164;-131867;27405041;33352253;1200609
201008;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;673970;673970;0;0;0;0;0;714401;1938;0;674605;;37859;29848006;20718642;1777266;1843467;5450594;0;0;0;0;0;58036;0;0;0;0;0;6815;87500;5444626;36775318;4689380;3451147;10448037;0;10448037;0;11505576;0;0;11505576;0;0;0;1;109474;109474;0;55889;0;1071189;1449537;-378348;5444626;36775318;1200500
201008;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;140117;140117;0;0;0;0;0;-3459920;40220;0;0;;-3500140;9011382;6574882;343835;0;0;0;0;0;3245820;0;0;0;-1153156;0;0;0;0;0;14109515;19801095;1142313;4237289;57614;0;57614;0;4018;0;0;4017;0;0;0;0;5155;5155;0;19288;0;225904;457350;-231446;14109515;19801095;1200500
201008;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;516244;516244;0;0;0;0;0;2383020;0;0;2369060;;13960;2989657;2857415;45900;3892;82056;0;0;0;0;0;394;0;0;0;0;0;0;0;37256714;43145635;1819793;3742083;152588;0;152588;0;38017;0;0;38017;0;0;0;0;3751;3751;0;42898;0;89792;218333;-128541;37256714;43145635;1200500
201008;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;304348;304348;0;0;0;0;47797;453332;0;0;443137;;10195;15552547;8806034;1309450;2318346;3006906;0;0;0;0;0;111811;0;0;0;0;0;3696;165000;2260843;18787564;1646902;2803829;414482;0;414482;0;11205357;0;0;11205357;0;0;0;0;10708;10708;0;23056;0;422384;626864;-204480;2260843;18787564;1200385
